index,Номер УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,Процентов за Амосов Михаил Иванович,Процентов за Беглов Александр Дмитриевич,Процентов за Тихонова Надежда Геннадьевна,Адрес УИК
22,534,2826,2500,1149,15,1336,15,1149,119,1045,0,0,104,784,157,8.9,67.3,13.4,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Меншиковский проспект, дом 15, корпус 3, школа №156"
23,535,2542,2000,563,10,1427,10,561,13,558,0,0,104,355,99,18.2,62.1,17.3,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Меншиковский проспект, дом 15, корпус 3, школа №156"
24,536,2531,2000,609,13,1378,13,608,22,599,0,0,90,394,115,14.4,63.4,18.5,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Верности улица, дом 38, корпус 4, школа №184"
25,537,2196,2000,574,14,1412,14,574,20,568,0,0,97,368,103,16.5,62.5,17.5,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Верности улица, дом 38, корпус 4, школа №184"
26,538,2651,2000,491,5,1504,5,490,19,476,0,0,77,277,122,15.5,55.9,24.6,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Руставели улица, дом 26, школа №184"
27,539,1962,1500,584,9,907,9,583,13,579,0,0,80,427,72,13.5,72.1,12.1,"Адрес помещения для голосования: 195273, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Науки проспект, дом 44, библиотека-филиал №14"
28,540,2756,2000,580,22,1398,22,551,13,560,0,0,127,285,148,22.1,49.7,25.8,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Мечникова проспект, дом 16, Бестужевская гимназия №159"
29,541,2869,2500,686,8,1806,8,686,15,679,0,0,152,351,176,21.9,50.5,25.3,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Мечникова проспект, дом 16, Бестужевская гимназия №159"
30,542,2566,2000,589,9,1402,9,588,11,586,0,0,102,364,120,17.0,60.9,20.1,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Мечникова проспект, дом 2, лит.А, дом детского творчества"
31,543,2422,2000,666,11,1323,11,665,18,658,0,0,113,396,149,16.7,58.5,22.0,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Мечникова проспект, дом 5, школа №653"
32,544,2375,2000,684,9,1307,9,677,23,663,0,0,118,407,138,17.2,59.3,20.1,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Брюсовская улица, дом 10, Брюсовская гимназия №192"
33,545,1644,1500,459,92,949,92,459,18,533,0,0,72,382,79,13.0,69.3,14.3,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Брюсовская улица, дом 10, Брюсовская гимназия №192"
34,546,1513,1500,420,14,1066,14,420,8,426,0,0,72,291,63,16.5,67.0,14.5,"Адрес помещения для голосования: 195067, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Меншиковский проспект, дом 2, технический колледж"
35,547,2316,2000,589,6,1405,6,587,3,590,0,0,68,419,103,11.4,70.6,17.3,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Мечникова проспект, дом 16, Бестужевская гимназия №159"
36,548,3421,3000,1308,32,1660,32,1302,34,1300,0,0,220,772,308,16.4,57.8,23.0,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Маршала Блюхера проспект, дом 14, ПМК ""Ровесник"""
37,549,2019,1500,437,10,1053,10,433,13,430,0,0,98,255,77,22.1,57.5,17.3,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Софьи Ковалевской улица, дом 13, корпус 6, школа №535"
38,550,2049,1500,491,10,999,10,491,10,491,0,0,104,307,80,20.7,61.2,15.9,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Карпинского улица, дом 38, корпус 8, школа №561"
39,551,1880,1500,414,7,1079,7,404,17,394,0,0,63,259,72,15.3,63.0,17.5,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Карпинского улица, дом 38, корпус 8, школа №561"
40,552,2098,2000,569,9,1422,9,538,23,524,0,0,96,329,99,17.5,60.1,18.1,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Карпинского улица, дом 38, корпус 8, школа №561"
41,553,1850,1500,436,2,1062,2,429,12,419,0,0,90,262,67,20.8,60.7,15.5,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Софьи Ковалевской улица, дом 13, корпус 6, школа №535"
42,554,1446,1000,368,5,627,5,329,9,325,0,0,77,183,65,23.0,54.7,19.4,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Науки проспект, дом 30, корпус 3, школа №88"
43,555,2378,2000,705,11,1284,11,676,10,677,0,0,137,429,111,19.9,62.4,16.1,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Верности улица, дом 28, корпус 4, школа №473"
44,556,2355,2000,700,4,1296,4,696,22,678,0,0,170,395,113,24.2,56.4,16.1,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Верности улица, дом 28, корпус 4, школа №473"
45,557,2107,2000,527,12,1461,12,515,12,515,0,0,117,328,70,22.2,62.2,13.2,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Науки проспект, дом 24, корпус 3, центр образования №633"
46,558,2036,2000,551,10,1439,10,549,20,539,0,0,125,325,89,22.3,58.1,15.9,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Науки проспект, дом 30, корпус 3, школа №88"
47,559,2401,2000,638,14,1348,14,638,17,635,0,0,157,381,97,24.0,58.4,14.8,"Адрес помещения для голосования: 195252, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Науки проспект, дом 38, ПМК ""Прожектор"""
48,560,1558,1500,453,3,1044,3,452,14,441,0,0,158,227,56,34.7,49.8,12.3,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Гражданский проспект, дом 31, корпус 5, лицей №470"
49,561,2427,2000,595,4,1401,4,582,30,556,0,0,173,277,106,29.5,47.2,18.0,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Гражданский проспект, дом 31, корпус 5, лицей №470"
50,562,2572,2000,760,1,1239,1,726,25,702,0,0,259,336,107,35.6,46.2,14.7,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Верности улица, дом 14, корпус 4, лицей №95"
51,563,2667,2000,750,9,1241,9,748,21,736,0,0,201,427,108,26.5,56.4,14.2,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Верности улица, дом 14, корпус 4, лицей №95"
52,564,1840,1500,449,8,1043,8,434,11,431,0,0,109,247,75,24.6,55.8,16.9,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Науки проспект, дом 24, корпус 3, центр образования №633"
53,565,2805,2000,800,4,1196,4,796,21,779,0,0,246,403,130,30.7,50.3,16.2,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Гражданский проспект, дом 7/1, ГОБУ ДОД СДЮСШОР №1"
54,566,2634,2000,704,6,1290,6,704,15,695,0,0,252,336,107,35.4,47.3,15.0,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Фаворского улица, дом 16, школа №111"
